LastName,Country,Age,TotalPoints,DiveNum,DiveName,Difficulty,Judge1,Judge2,Judge3,Judge4,Judge5,Judge6,Judge7,Points,OfficialPoints,PCC
Fung,CAN,18,374.7,1,103B,1.7,7.0,6.5,7.5,7.5,7.0,7.0,7.0,35.7,35.699999999999996,1.9954465233193017
Fung,CAN,18,374.7,2,201B,1.6,6.5,6.0,6.5,7.0,6.5,6.5,6.0,31.2,31.200000000000003,1.7196511070214453
Fung,CAN,18,374.7,4,301B,1.7,6.0,6.5,6.0,6.5,6.5,7.5,6.5,33.15,33.15,2.3207620208923743
Fung,CAN,18,374.7,6,403B,2.4,6.5,6.5,6.5,7.0,7.0,7.0,7.0,49.2,49.199999999999996,8.525188348287365
Fung,CAN,18,374.7,7,105B,2.6,7.0,7.0,7.5,7.0,6.5,6.5,7.0,54.6,54.6,7.35588888681352
Brown,GBR,17,373.5,2,103B,1.7,7.0,7.5,7.0,7.0,7.0,7.5,7.0,35.7,35.699999999999996,3.0775631793557556
Brown,GBR,17,373.5,3,201B,1.6,7.0,7.5,7.0,7.0,7.0,7.0,6.5,33.6,33.6,1.2792136386764017
Brown,GBR,17,373.5,4,301B,1.7,7.5,7.5,8.0,7.5,7.5,7.5,7.5,38.25,38.25,2.0503961300560563
Brown,GBR,17,373.5,6,403B,2.4,6.5,7.0,6.5,6.5,7.0,6.5,6.5,46.8,46.8,7.804795730820054
Brown,GBR,17,373.5,7,105B,2.6,6.5,7.0,7.0,7.0,7.0,7.0,7.0,54.6,54.6,8.78022720454628
Monroy Manriquez,MEX,17,371.35,1,103B,1.7,6.5,6.5,6.5,6.5,6.0,6.0,6.5,33.15,33.15,2.2325888781835017
Monroy Manriquez,MEX,17,371.35,3,201B,1.6,7.0,7.0,7.0,7.0,6.0,7.0,6.5,33.6,33.6,1.0
Monroy Manriquez,MEX,17,371.35,4,301B,1.7,7.0,7.5,7.0,7.0,7.0,7.0,7.5,35.7,35.699999999999996,3.0879625387151335
Monroy Manriquez,MEX,17,371.35,6,105B,2.6,6.5,6.5,6.5,6.5,6.5,6.5,7.0,50.7,50.7,8.11332382551905
Monroy Manriquez,MEX,17,371.35,9,403B,2.4,6.5,7.0,6.0,6.0,6.5,6.5,6.5,46.8,46.8,7.416612899945493
Hubert,GER,18,370.2,1,103B,1.7,6.5,7.0,7.5,7.5,6.5,7.0,7.0,35.7,35.699999999999996,2.118940638565811
Hubert,GER,18,370.2,3,301B,1.7,7.5,8.5,8.0,8.0,8.0,8.0,8.0,40.8,40.8,2.8365812895529854
Hubert,GER,18,370.2,7,403B,2.4,7.0,7.0,6.5,7.0,7.0,7.0,7.5,50.4,50.4,7.814102299970027
Hubert,GER,18,370.2,8,105B,2.6,5.5,5.0,5.5,5.5,6.0,5.5,4.0,42.9,42.9,9.155134448930488
Palkhivala,CAN,17,365.3,2,103B,1.7,7.0,6.5,7.5,7.0,7.0,7.0,7.5,35.7,35.699999999999996,3.2134670109613497
Palkhivala,CAN,17,365.3,3,201B,1.6,7.5,6.5,7.5,8.0,7.5,7.0,7.0,35.2,35.2,1.1501529761565612
Palkhivala,CAN,17,365.3,4,301B,1.7,7.5,7.0,7.5,8.0,7.5,7.0,8.0,38.25,38.25,3.1110181794161145
Palkhivala,CAN,17,365.3,6,403B,2.4,7.0,6.5,7.0,7.0,7.0,7.0,8.0,50.4,50.4,5.937753437624929
Palkhivala,CAN,17,365.3,8,105B,2.6,6.5,6.5,6.5,7.0,6.0,6.5,6.5,50.7,50.7,10.0
