DiveName,Diver,Start,End
DIVE301B.mp4,FUNG,0:00,0:12
DIVE301B.mp4,BROWN,0:14,0:20
DIVE301B.mp4,MONROY,0:24,0:33
DIVE301B.mp4,HUBERT,0:36,0:43
DIVE301B.mp4,PALKHIVALA,0:45,0:53
DIVE201B.mp4,FUNG,0:00,0:15
DIVE201B.mp4,BROWN,0:21,0:33
DIVE201B.mp4,MONROY,0:50,1:05
DIVE201B.mp4,PALKHIVALA,1:22,1:33
DIVE103B.mp4,FUNG,0:00,0:09
DIVE103B.mp4,BROWN,0:14,0:21
DIVE103B.mp4,MONROY,0:24,0:33
DIVE103B.mp4,HUBERT,0:35,0:42
DIVE103B.mp4,PALKHIVALA,0:51,0:57
DIVE403B.mp4,FUNG,0:10,0:17
DIVE403B.mp4,BROWN,0:35,0:44
DIVE403B.mp4,MONROY,0:54,1:07
DIVE403B.mp4,HUBERT,1:21,1:29
DIVE403B.mp4,PALKHIVALA,1:45,1:52
DIVE105B.mp4,FUNG,0:08,0:13
DIVE105B.mp4,BROWN,0:15,0:21
DIVE105B.mp4,MONROY,0:41,0:49
DIVE105B.mp4,HUBERT,0:55,1:02
DIVE105B.mp4,PALKHIVALA,1:07,1:13
