LastName,Country,Age,TotalPoints,DiveNum,DiveName,Difficulty,Judge1,Judge2,Judge3,Judge4,Judge5,Judge6,Judge7,Points,OfficialPoints,ScaledPoints,PCC
Fung,CAN,18,374.7,1,103B,1.7,7.0,6.5,7.5,7.5,7.0,7.0,7.0,35.7,35.699999999999996,2.730769230769228,2.077172105429219
Fung,CAN,18,374.7,2,201B,1.6,6.5,6.0,6.5,7.0,6.5,6.5,6.0,31.2,31.200000000000003,1.0,2.023012924352668
Fung,CAN,18,374.7,4,301B,1.7,6.0,6.5,6.0,6.5,6.5,7.5,6.5,33.15,33.15,1.7499999999999984,2.4841249623335777
Fung,CAN,18,374.7,6,403B,2.4,6.5,6.5,6.5,7.0,7.0,7.0,7.0,49.2,49.199999999999996,7.923076923076921,7.982303846457475
Fung,CAN,18,374.7,7,105B,2.6,7.0,7.0,7.5,7.0,6.5,6.5,7.0,54.6,54.6,10.0,7.917267205356253
Brown,GBR,17,373.5,2,103B,1.7,7.0,7.5,7.0,7.0,7.0,7.5,7.0,35.7,35.699999999999996,2.730769230769228,3.139802103363218
Brown,GBR,17,373.5,3,201B,1.6,7.0,7.5,7.0,7.0,7.0,7.0,6.5,33.6,33.6,1.9230769230769225,1.5027108339353725
Brown,GBR,17,373.5,4,301B,1.7,7.5,7.5,8.0,7.5,7.5,7.5,7.5,38.25,38.25,3.711538461538461,2.176395785897605
Brown,GBR,17,373.5,6,403B,2.4,6.5,7.0,6.5,6.5,7.0,6.5,6.5,46.8,46.8,6.999999999999998,8.559235815940859
Brown,GBR,17,373.5,7,105B,2.6,6.5,7.0,7.0,7.0,7.0,7.0,7.0,54.6,54.6,10.0,9.233253221808113
Monroy Manriquez,MEX,17,371.35,1,103B,1.7,6.5,6.5,6.5,6.5,6.0,6.0,6.5,33.15,33.15,1.7499999999999984,2.2354493111768354
Monroy Manriquez,MEX,17,371.35,3,201B,1.6,7.0,7.0,7.0,7.0,6.0,7.0,6.5,33.6,33.6,1.9230769230769225,1.27681247020627
Monroy Manriquez,MEX,17,371.35,4,301B,1.7,7.0,7.5,7.0,7.0,7.0,7.0,7.5,35.7,35.699999999999996,2.730769230769228,2.8512651409616225
Monroy Manriquez,MEX,17,371.35,6,105B,2.6,6.5,6.5,6.5,6.5,6.5,6.5,7.0,50.7,50.7,8.5,8.52898728393182
Monroy Manriquez,MEX,17,371.35,9,403B,2.4,6.5,7.0,6.0,6.0,6.5,6.5,6.5,46.8,46.8,6.999999999999998,8.306766477962055
Hubert,GER,18,370.2,1,103B,1.7,6.5,7.0,7.5,7.5,6.5,7.0,7.0,35.7,35.699999999999996,2.730769230769228,2.1033953269382866
Hubert,GER,18,370.2,3,301B,1.7,7.5,8.5,8.0,8.0,8.0,8.0,8.0,40.8,40.8,4.69230769230769,2.9031194044495336
Hubert,GER,18,370.2,7,403B,2.4,7.0,7.0,6.5,7.0,7.0,7.0,7.5,50.4,50.4,8.384615384615383,8.00047892678967
Hubert,GER,18,370.2,8,105B,2.6,5.5,5.0,5.5,5.5,6.0,5.5,4.0,42.9,42.9,5.499999999999998,9.562879280195148
Palkhivala,CAN,17,365.3,2,103B,1.7,7.0,6.5,7.5,7.0,7.0,7.0,7.5,35.7,35.699999999999996,2.730769230769228,3.1316350113894447
Palkhivala,CAN,17,365.3,3,201B,1.6,7.5,6.5,7.5,8.0,7.5,7.0,7.0,35.2,35.2,2.5384615384615383,1.0
Palkhivala,CAN,17,365.3,4,301B,1.7,7.5,7.0,7.5,8.0,7.5,7.0,8.0,38.25,38.25,3.711538461538461,2.8776073666903055
Palkhivala,CAN,17,365.3,6,403B,2.4,7.0,6.5,7.0,7.0,7.0,7.0,8.0,50.4,50.4,8.384615384615383,6.010769210483671
Palkhivala,CAN,17,365.3,8,105B,2.6,6.5,6.5,6.5,7.0,6.0,6.5,6.5,50.7,50.7,8.5,10.0
